SIGLA_UF;COD_UF;COD_MN;NOME_MN;POP_ESTIM
RO;11;00015;Alta Floresta D'Oeste;24354
RO;11;00379;Alto Alegre dos Parecis;11875
RO;11;00403;Alto Paraíso;17569
RO;11;00346;Alvorada D'Oeste;17127
RO;11;00023;Ariquemes;85541
RO;11;00452;Buritis;34693
RO;11;00031;Cabixi;6695
RO;11;00601;Cacaulândia;5736
RO;11;00049;Cacoal;78675
RO;11;00700;Campo Novo de Rondônia;12915
RO;11;00809;Candeias do Jamari;17547
RO;11;00908;Castanheiras;3685
RO;11;00056;Cerejeiras;16622
RO;11;00924;Chupinguaia;7843
RO;11;00064;Colorado do Oeste;17822
RO;11;00072;Corumbiara;9680
RO;11;00080;Costa Marques;14452
RO;11;00940;Cujubim;14889
RO;11;00098;Espigão D'Oeste;28892
RO;11;01005;Governador Jorge Teixeira;11593
RO;11;00106;Guajará-Mirim;40762
RO;11;01104;Itapuã do Oeste;8235
RO;11;00114;Jaru;53943
RO;11;00122;Ji-Paraná;111010
RO;11;00130;Machadinho D'Oeste;33159
RO;11;01203;Ministro Andreazza;10572
RO;11;01302;Mirante da Serra;12363
RO;11;01401;Monte Negro;12708
RO;11;00148;Nova Brasilândia D'Oeste;17698
RO;11;00338;Nova Mamoré;22337
RO;11;01435;Nova União;7944
RO;11;00502;Novo Horizonte do Oeste;9720
RO;11;00155;Ouro Preto do Oeste;36725
RO;11;01450;Parecis;4802
RO;11;00189;Pimenta Bueno;33984
RO;11;01468;Pimenteiras do Oeste;2415
RO;11;00205;Porto Velho;382829
RO;11;00254;Presidente Médici;22519
RO;11;01476;Primavera de Rondônia;3765
RO;11;00262;Rio Crespo;3290
RO;11;00288;Rolim de Moura;50499
RO;11;00296;Santa Luzia D'Oeste;9348
RO;11;01484;São Felipe D'Oeste;6412
RO;11;01492;São Francisco do Guaporé;16491
RO;11;00320;São Miguel do Guaporé;23201
RO;11;01500;Seringueiras;12117
RO;11;01559;Teixeirópolis;5010
RO;11;01609;Theobroma;10325
RO;11;01708;Urupá;13661
RO;11;01757;Vale do Anari;9100
RO;11;01807;Vale do Paraíso;8913
RO;11;00304;Vilhena;69866
AC;12;00013;Acrelândia;12241
AC;12;00054;Assis Brasil;5662
AC;12;00104;Brasiléia;20238
AC;12;00138;Bujari;6772
AC;12;00179;Capixaba;9287
AC;12;00203;Cruzeiro do Sul;77004
AC;12;00252;Epitaciolândia;14224
AC;12;00302;Feijó;32261
AC;12;00328;Jordão;6520
AC;12;00336;Mâncio Lima;14774
AC;12;00344;Manoel Urbano;7505
AC;12;00351;Marechal Thaumaturgo;14275
AC;12;00385;Plácido de Castro;18235
AC;12;00807;Porto Acre;14682
AC;12;00393;Porto Walter;8855
AC;12;00401;Rio Branco;305954
AC;12;00427;Rodrigues Alves;13460
AC;12;00435;Santa Rosa do Purus;4358
AC;12;00500;Sena Madureira;36166
AC;12;00450;Senador Guiomard;19697
AC;12;00609;Tarauacá;33883
AC;12;00708;Xapuri;15079
AM;13;00029;Alvarães;13566
AM;13;00060;Amaturá;8828
AM;13;00086;Anamã;8673
AM;13;00102;Anori;14688
AM;13;00144;Apuí;18597
AM;13;00201;Atalaia do Norte;14715
AM;13;00300;Autazes;31774
AM;13;00409;Barcelos;25410
