SIGLA_UF;COD_UF;COD_MN;NOME_MN;POP_ESTIM
RO;11;00015;Alta Floresta D'Oeste;24577
RO;11;00379;Alto Alegre dos Parecis;11962
RO;11;00403;Alto Paraíso;17169
RO;11;00346;Alvorada D'Oeste;17009
RO;11;00023;Ariquemes;84581
RO;11;00452;Buritis;33879
RO;11;00031;Cabixi;6777
RO;11;00601;Cacaulândia;5707
RO;11;00049;Cacoal;78263
RO;11;00700;Campo Novo de Rondônia;12790
RO;11;00809;Candeias do Jamari;17147
RO;11;00908;Castanheiras;3737
RO;11;00056;Cerejeiras;16784
RO;11;00924;Chupinguaia;7633
RO;11;00064;Colorado do Oeste;18216
RO;11;00072;Corumbiara;9761
RO;11;00080;Costa Marques;13973
RO;11;00940;Cujubim;14122
RO;11;00098;Espigão D'Oeste;28617
RO;11;01005;Governador Jorge Teixeira;11793
RO;11;00106;Guajará-Mirim;40541
RO;11;01104;Itapuã do Oeste;8110
RO;11;00114;Jaru;53955
RO;11;00122;Ji-Paraná;110707
RO;11;00130;Machadinho D'Oeste;32214
RO;11;01203;Ministro Andreazza;10653
RO;11;01302;Mirante da Serra;12446
RO;11;01401;Monte Negro;12710
RO;11;00148;Nova Brasilândia D'Oeste;17653
RO;11;00338;Nova Mamoré;21650
RO;11;01435;Nova União;7978
RO;11;00502;Novo Horizonte do Oeste;9966
RO;11;00155;Ouro Preto do Oeste;37142
RO;11;01450;Parecis;4696
RO;11;00189;Pimenta Bueno;33803
RO;11;01468;Pimenteiras do Oeste;2427
RO;11;00205;Porto Velho;379186
RO;11;00254;Presidente Médici;22896
RO;11;01476;Primavera de Rondônia;3819
RO;11;00262;Rio Crespo;3260
RO;11;00288;Rolim de Moura;50249
RO;11;00296;Santa Luzia D'Oeste;9566
RO;11;01484;São Felipe D'Oeste;6477
RO;11;01492;São Francisco do Guaporé;16091
RO;11;00320;São Miguel do Guaporé;23283
RO;11;01500;Seringueiras;12088
RO;11;01559;Teixeirópolis;5070
RO;11;01609;Theobroma;10254
RO;11;01708;Urupá;13785
RO;11;01757;Vale do Anari;8981
RO;11;01807;Vale do Paraíso;9008
RO;11;00304;Vilhena;68405
AC;12;00013;Acrelândia;11987
AC;12;00054;Assis Brasil;5559
AC;12;00104;Brasiléia;19829
AC;12;00138;Bujari;6745
AC;12;00179;Capixaba;8897
AC;12;00203;Cruzeiro do Sul;76392
AC;12;00252;Epitaciolândia;13960
AC;12;00302;Feijó;32210
AC;12;00328;Jordão;6333
AC;12;00336;Mâncio Lima;14387
AC;12;00344;Manoel Urbano;7405
AC;12;00351;Marechal Thaumaturgo;13728
AC;12;00385;Plácido de Castro;17921
AC;12;00807;Porto Acre;14309
AC;12;00393;Porto Walter;8562
AC;12;00401;Rio Branco;301398
AC;12;00427;Rodrigues Alves;13020
AC;12;00435;Santa Rosa do Purus;4165
AC;12;00500;Sena Madureira;35544
AC;12;00450;Senador Guiomard;19506
AC;12;00609;Tarauacá;33368
AC;12;00708;Xapuri;14848
AM;13;00029;Alvarães;13445
AM;13;00060;Amaturá;8694
AM;13;00086;Anamã;8483
AM;13;00102;Anori;14386
AM;13;00144;Apuí;18170
AM;13;00201;Atalaia do Norte;14292
AM;13;00300;Autazes;31107
AM;13;00409;Barcelos;25318
AM;13;00508;Barreirinha;27664
AM;13;00607;Benjamin Constant;30476
AM;13;00631;Beruri;14374
AM;13;00680;Boa Vista do Ramos;13677
AM;13;00706;Boca do Acre;30858
AM;13;00805;Borba;32160
AM;13;00839;Caapiranga;10958
AM;13;00904;Canutama;11844
AM;13;01001;Carauari;25950
AM;13;01100;Careiro;32190
AM;13;01159;Careiro da Várzea;24030
AM;13;01209;Coari;67055
AM;13;01308;Codajás;16418
AM;13;01407;Eirunepé;30473
AM;13;01506;Envira;17148
AM;13;01605;Fonte Boa;19783
AM;13;01654;Guajará;14684
AM;13;01704;Humaitá;40027
AM;13;01803;Ipixuna;17850
AM;13;01852;Iranduba;33834
AM;13;01902;Itacoatiara;87896
AM;13;01951;Itamarati;8300
AM;13;02009;Itapiranga;9515
AM;13;02108;Japurá;5025
AM;13;02207;Juruá;9032
AM;13;02306;Jutaí;17337
AM;13;02405;Lábrea;38451
AM;13;02504;Manacapuru;85279
AM;13;02553;Manaquiri;20095
AM;13;02603;Manaus;1709010
AM;13;02702;Manicoré;45996
AM;13;02801;Maraã;18051
AM;13;02900;Maués;48808
AM;13;03007;Nhamundá;18198
AM;13;03106;Nova Olinda do Norte;30357
AM;13;03205;Novo Airão;15343
AM;13;03304;Novo Aripuanã;18796
AM;13;03403;Parintins;105742
AM;13;03502;Pauini;18938
AM;13;03536;Presidente Figueiredo;25474
AM;13;03569;Rio Preto da Eva;26004
AM;13;03601;Santa Isabel do Rio Negro;17780
AM;13;03700;Santo Antônio do Içá;30176
AM;13;03809;São Gabriel da Cachoeira;40806
AM;13;03908;São Paulo de Olivença;32067
AM;13;03957;São Sebastião do Uatumã;9079
AM;13;04005;Silves;8479
AM;13;04062;Tabatinga;47051
AM;13;04104;Tapauá;19966
AM;13;04203;Tefé;64703
AM;13;04237;Tonantins;19858
AM;13;04260;Uarini;10130
