CD_GEOCODM;POP_ESTIM
2921005;40210
2921054;11134
2921104;21541
2921203;26466
2921302;10306
2921401;16323
2921450;10512
2921500;52360
2921609;8285
2921708;35207
2921807;12482
2921906;10548
2922003;36043
2922052;12270
2922102;24419
2922201;7310
2922250;10272
2922300;28897
2922409;21466
2922508;27269
2922607;12530
2922656;12398
2922706;16727
2922730;7602
2922755;6648
2922805;7438
2922854;8034
2922904;24132
2923001;38537
2923035;10673
2923050;15057
2923100;24943
2923209;21839
2923308;8287
2923357;16477
2923407;20779
2923506;8408
2923605;20998
2923704;29475
2923803;27782
2923902;10853
2924009;108419
2924058;13752
2924108;6896
2924207;16995
2924306;17985
2924405;32815
2924504;15629
2924603;20119
2924652;10345
2924678;9835
2924702;12789
2924801;22411
2924900;8822
2925006;24497
2925105;44760
2925204;33064
2925253;15741
2925303;126770
2925402;9829
2925501;27612
2925600;13756
2925709;13657
2925758;23857
2925808;24583
2925907;27243
2925931;9548
2925956;25555
2926004;39149
2926103;12059
2926202;21941
2926301;33081
2926400;30651
2926509;14267
2926608;48271
2926657;8573
2926707;12979
2926806;14786
2926905;11923
2927002;37127
2927101;7779
2927200;29869
2927309;13465
2927408;2676606
2927507;19064
2927606;15059
2927705;26198
2927804;6673
2927903;10363
2928059;13332
2928109;40316
2928406;26261
2928505;9658
2928000;33816
2928208;24747
2928307;8781
2928604;57811
2928703;90949
2928802;47901
2928901;27692
2928950;9221
2929107;20305
2929008;14099
2929057;13042
2929206;33172
2929255;18419
2929305;33289
2929354;5715
2929370;10213
2929404;10414
2929503;42153
2929602;16597
2929701;18588
2929750;11201
2929800;11847
2929909;41815
2930006;10372
2930105;74431
2930204;37431
2930154;31646
2930303;18112
2930402;15401
2930501;77285
2930600;12347
2930709;118020
2930758;12051
2930766;12603
2930774;21988
2930808;15899
2930907;11428
2931004;20022
2931053;16133
2931103;8008
2931202;18791
2931301;16528
2931350;138491
2931400;7895
2931509;21484
2931608;14850
2931707;12806
2931806;17032
2931905;52391
2932002;24302
2932101;19759
2932200;20697
2932309;25015
2932408;13655
2932457;17010
2932507;24106
2932606;16499
2932705;19840
2932804;18193
2932903;88729
2933000;24579
2933059;13787
2933109;8664
2933158;13127
2933174;9121
2933208;37587
2933257;6802
2933307;306374
2933406;8983
2933455;12485
2933505;22181
2300101;10489
2300150;15337
2300200;57542
2300309;51171
2300408;16207
2300507;10773
2300606;6851
2300705;16360
2300754;39233
2300804;6984
2300903;13927
2301000;72651
2301109;69167
2301208;25405
2301257;10500
2301307;20689
2301406;11529
2301505;7657
2301604;22448
2301703;24573
2301802;6026
2301851;17320
2301901;55373
2301950;19574
2302008;21528
2302057;14475
2302107;33326
2302206;49334
2302305;30873
2302404;52521
2302503;45190
2302602;60163
2302701;26510
2302800;74486
2302909;17063
2303006;20020
2303105;18348
2303204;26387
2303303;18567
2303402;16746
2303501;66124
2303600;18745
2303659;9951
2303709;324738
2303808;24538
2303907;12617
2303931;12853
2303956;18920
2304004;22018
2304103;72853
2304202;121462
2304236;17077
2304251;22480
2304269;9094
2304277;6853
2304285;46047
2304301;19007
2304350;21786
2304400;2447409
2304459;14851
2304509;12991
2304608;6216
2304657;15052
2304707;52670
2304806;4626
2304905;10228
2304954;24091
2305001;37777
2305100;4165
2305209;19342
2305233;55154
2305266;12928
2305308;23810
2305332;11335
2305357;18393
2305407;65453
2305506;96523
2305605;25586
2305654;11335
2305704;12014
2305803;40300
2305902;37874
2306009;13725
2306108;22347
2306207;7321
2306256;35838
2306306;48366
2306405;116065
2306504;18626
2306553;37462
2306603;18894
2306702;17867
2306801;10405
2306900;34416
2307007;32239
2307106;26697
2307205;7649
2307254;17002
2307304;249936
2307403;23809
2307502;31096
2307601;56281
2307635;18085
2307650;209748
2307700;112926
2307809;24707
2307908;10220
2308005;35201
2308104;44217
2308203;13693
2308302;28317
2308351;13078
2308377;12800
2308401;34258
2308500;42707
2308609;16706
2308708;62086
2308807;8069
2308906;20703
2309003;14102
2309102;11485
2309201;14256
2309300;30977
2309409;27461
2309458;24012
2309508;21392
2309607;61846
2309706;72249
2309805;11607
2309904;5986
2310001;8869
2310100;12005
2310209;31638
2310258;30041
2310308;31320
2310407;11308
2310506;41942
2310605;8226
2310704;35412
2310803;15764
2310852;18691
2310902;15501
2310951;10216
2311009;12003
2311108;15065
2311207;10276
2311231;6129
2311264;19918
2311306;80605
2311355;15000
2311405;71912
2311504;19422
2311603;26423
2311702;19460
2311801;69892
2311900;15754
2311959;15453
2312205;42759
2312007;29977
2312106;17181
2312304;44186
2312403;43947
2312502;7902
2312601;12336
2312700;26494
2312809;6852
2312908;188271
2313005;17657
2313104;29210
2313203;25455
2313252;8910
2313302;55755
2313351;16836
2313401;68901
2313500;51432
2313559;14415
2313609;31792
2313708;7545
2313757;18807
2313807;19765
2313906;12894
2313955;17584
2314003;38442
2314102;54961
5300108;2562963
3200102;31086
3200169;11771
3200136;9517
3200201;30784
3200300;13960
3200359;7303
3200409;23894
3200508;7513
3200607;81746
3200706;9840
3200805;29086
3200904;40610
3201001;14199
3201100;9479
3201159;11921
3201209;189878
3201308;348933
3201407;34826
3201506;111794
3201605;28477
3201704;11686
3201803;4515
3201902;31824
3202009;6399
3202108;23223
3202207;17028
3202256;10874
3202306;27853
3202405;105227
3202454;22346
3202504;11158
3202553;8964
3202603;12514
