COD_UF;COD_MN;POP_ESTIM
17;7702;8856
17;8205;18440
17;8254;2589
17;8304;5123
17;9005;13019
17;9302;25923
17;9500;86647
17;9807;2015
17;10508;7433
17;10706;5864
17;10904;3777
17;11100;2427
17;11506;3849
17;11803;2193
17;11902;13357
17;11951;4316
17;12009;3134
17;12157;1923
17;12405;3740
17;12454;3108
17;12504;5175
17;12702;2684
17;12801;3426
17;13205;18248
17;13304;13434
17;13601;7947
17;13700;2279
17;13809;6658
17;13957;3551
17;14203;9244
17;14302;3898
17;14880;11819
17;15002;4260
17;15101;4342
17;15150;2332
17;15259;2722
17;15507;1112
17;15705;6026
17;15754;7659
17;16109;51252
17;16208;10449
17;16307;4849
17;16505;13578
17;16604;11749
17;16653;5477
17;16703;8205
17;17008;4447
17;17206;3028
17;17503;7654
17;17800;4596
17;17909;8039
17;18006;3139
17;18204;53010
17;18303;8432
17;18402;3684
17;18451;2688
17;18501;4293
17;18550;4645
17;18659;2130
17;18709;2834
17;18758;6478
17;18808;4711
17;18840;3375
17;18865;7512
17;18881;3434
17;18899;2365
17;18907;4829
17;19004;2866
17;20002;2529
17;20101;5324
17;20150;1585
17;20200;12139
17;20259;3082
17;20309;4805
17;20499;3960
17;20655;5403
17;20804;9029
17;20853;1966
17;20903;16683
17;20937;2148
17;20978;2793
17;21000;299127
17;21109;7545
17;21208;22870
17;21257;1891
17;21307;2671
17;22081;11683
17;22107;11540
21;55;112445
21;105;6524
21;154;12571
21;204;22097
21;303;26532
21;402;8128
21;436;27053
21;477;31919
21;501;11190
21;550;6962
21;600;41435
21;709;26803
21;808;15732
21;832;17239
21;873;15426
21;907;46440
21;956;32701
21;1004;29848
21;1103;12130
21;1202;104949
21;1251;17055
21;1301;18582
21;1350;5644
21;1400;94887
21;1509;18820
21;1608;88212
21;1707;62528
21;1731;7469
21;1772;11209
21;1806;5632
21;1905;21280
21;1939;6043
21;1970;9287
21;2002;41630
21;2036;34028
21;2077;16294
21;2101;36397
21;2150;9188
21;2200;28678
21;2309;23884
21;2325;72358
21;2358;15430
21;2374;9431
21;2408;11177
21;2507;19379
21;2556;14374
21;2606;20178
21;2705;21995
21;2754;10934
21;2804;24322
21;2903;23807
21;3000;164880
21;3109;10675
21;3125;8673
21;3158;13458
21;3174;21622
21;3208;79675
21;3257;14697
21;3307;122859
21;3406;49435
21;3505;41178
21;3554;16237
21;3604;65296
21;3703;32695
21;3752;12908
21;3802;23350
21;3901;11349
21;4008;17241
21;4057;41946
21;4073;8504
21;4081;10360
21;4099;19089
21;4107;12631
21;4206;15552
21;4305;11819
21;4404;17934
21;4503;10840
21;4552;18296
21;4602;16828
21;4628;7807
21;4651;10180
21;4677;25577
21;4701;6262
21;4800;69527
21;4909;12030
21;5005;28717
21;5104;27113
21;5153;14177
21;5203;11320
21;5302;258682
21;5351;16057
21;5401;68203
21;5427;26000
21;5450;10153
21;5476;16515
21;5500;23632
21;5609;16168
21;5658;3432
21;5708;50266
21;5807;10840
21;5906;16257
21;5922;11250
21;5948;8873
21;5963;11394
21;5989;7550
21;6003;11893
21;6102;12157
21;6201;6951
21;6300;19826
21;6326;21395
21;6359;7792
21;6375;16265
21;6409;16829
21;6508;23370
21;6607;33782
21;6631;16745
21;6672;8464
21;6706;21015
21;6755;28381
21;6805;14962
21;6904;33434
21;7001;9160
21;7100;19433
21;7209;14454
21;7258;5384
21;7308;4683
21;7357;20928
21;7407;19505
21;7456;14701
21;7506;122197
21;7605;19722
21;7704;21386
21;7803;34907
21;7902;19019
21;8009;19472
21;8058;16035
21;8108;21040
21;8207;39229
21;8256;25144
21;8306;38470
21;8405;14318
21;8454;23196
21;8504;32941
21;8603;83387
21;8702;21485
21;8801;18625
21;8900;17873
21;9007;23885
21;9056;5975
21;9106;47804
21;9205;12734
21;9239;7015
21;9270;18918
21;9304;11193
21;9403;15315
21;9452;30761
21;9502;20195
21;9551;7791
21;9601;42740
21;9700;5671
21;9759;7773
21;9809;42130
21;9908;89044
21;10005;72667
21;10039;25254
21;10104;25642
21;10203;37855
21;10237;13386
21;10278;15846
21;10302;14528
21;10401;18663
21;10500;45211
21;10609;28507
21;10658;7392
21;10708;34376
21;10807;4585
21;10856;11798
21;10906;12210
21;11003;20665
21;11029;15808
21;11052;11177
21;11078;18543
21;11102;25929
21;11201;177687
21;11250;7641
21;11300;1101884
21;11409;18856
21;11508;41529
21;11532;12690
21;11573;4668
21;11607;18868
21;11631;5237
21;11672;6719
21;11706;22247
21;11722;13914
21;11748;11141
21;11763;14293
21;11789;10253
21;11805;18081
21;11904;10636
21;11953;5660
21;12001;8521
21;12100;29124
21;12209;169107
21;12233;21998
21;12274;5840
21;12308;41832
21;12407;35604
21;12456;25619
21;12506;58860
21;12605;33122
21;12704;56510
21;12803;52441
21;12852;13392
21;12902;32764
21;13009;31523
21;14007;51714
22;53;7084
22;103;5139
22;202;17411
22;251;7651
22;277;4915
22;301;14304
22;400;40524
22;459;5419
22;509;17598
22;608;6788
22;707;9880
22;806;3164
22;905;5835
22;954;2551
22;1002;4727
22;1051;7846
22;1101;11289
22;1150;11586
22;1176;3951
22;1200;47066
22;1309;3348
22;1408;7032
22;1507;26857
22;1556;4015
22;1572;3566
22;1606;10467
22;1705;5501
22;1739;6205
22;1770;6781
22;1804;4500
22;1903;25179
22;1919;5630
22;1929;5670
22;1945;6407
22;1960;8329
22;1988;3875
22;2000;19781
22;2026;8244
22;2059;10586
22;2075;3559
22;2083;7642
22;2091;5776
22;2109;5613
22;2117;5045
