code_muni,casos,mortes
5200050,33,0
3100104,5,0
5200100,37,1
3100203,10,0
1500107,2279,97
2300101,18,1
2900108,6,0
2900207,2,0
4100103,36,0
4200051,24,0
1500131,69,1
4200101,37,1
3100302,7,0
2600054,474,56
1700251,4,1
3100401,10,1
2100055,2520,51
2900306,19,1
1500206,451,9
2300150,474,11
2300200,1648,44
2400109,10,0
2200053,4,0
2300309,242,17
5100102,33,1
1200013,192,3
5200134,9,1
2400208,321,14
3100500,11,1
3500105,51,5
5200159,12,0
3500204,17,2
4100202,26,1
2900355,19,1
2600104,73,3
2400307,37,4
3200102,286,8
2100105,70,0
2600203,65,1
1500305,656,4
2600302,161,13
2200103,10,0
4200200,12,2
4200309,14,2
1500347,63,0
5100201,77,2
2200202,209,13
5000203,6,0
3100708,2,0
4200408,11,0
2100154,180,3
3200169,39,2
2900405,29,1
5200175,4,0
2600401,673,26
4300059,25,0
3500303,72,4
3100807,5,0
2600500,329,16
3500402,2,0
4200507,26,0
3500501,38,3
3500550,6,0
3500600,8,0
3100906,7,0
4200556,1,0
5200258,654,23
4200606,13,0
3101003,19,0
4300109,2,0
3500709,90,3
4100301,19,0
3200136,49,2
2500205,15,0
1700301,123,4
3101102,81,0
2900603,10,1
2300408,9,1
3101201,0,0
4300208,2,0
2500304,382,6
2500403,156,2
2600609,39,1
2200251,18,0
2900702,405,5
3500758,13,0
3101409,0,0
2100204,29,5
2300507,253,2
2500536,18,0
5000252,1,0
2900801,44,1
2100303,64,0
4300307,2,0
3200201,101,6
4300406,46,5
2200277,1,0
4300455,1,0
3101508,143,2
1500404,490,18
2400505,10,1
5200308,39,0
3101607,39,0
3200300,130,3
3500808,4,2
3101631,3,1
4200705,4,0
2500577,3,0
2500601,309,8
2600708,176,17
1700350,6,0
2900900,16,1
1700400,2,0
1500503,124,10
3101706,46,0
2400604,7,0
4100400,125,2
5200506,1,0
3101805,54,0
4300505,15,0
3101904,1,0
5100250,145,3
1100015,93,0
3500907,1,0
1500602,1483,52
2100402,51,3
4100459,1,0
2300606,2,0
3102001,2,0
2600807,124,3
3501004,19,0
3501103,3,1
2100436,294,8
2100477,394,1
1100379,36,1
5100300,33,3
4200754,6,0
5100359,24,2
3102050,3,0
2400703,124,6
4300570,5,0
5100409,30,0
3153509,17,1
2200301,27,1
5100508,9,0
1100403,58,3
5200605,6,0
4100608,13,0
2100501,64,0
4100707,8,0
3102100,54,1
3200359,17,2
2300705,81,4
5100607,5,1
4100509,6,0
2200400,342,4
3501152,45,2
1300029,926,13
3102209,94,0
3501202,5,0
3501301,41,1
3501400,3,2
3501509,1,0
3102308,9,0
1700707,16,0
1100346,16,1
3102407,7,0
2200459,6,0
5200803,2,0
4100806,9,2
1400027,120,4
5000609,16,1
1600105,320,4
2100550,3,0
4100905,19,0
2600906,95,15
5200829,3,0
2200509,9,0
2100600,455,10
2901007,31,1
1300060,399,8
2901106,78,0
2901155,13,0
3501608,488,23
5200852,28,1
3501707,118,2
3501806,28,0
4300646,11,0
2300754,601,14
5200902,2,0
3501905,130,7
2800100,8,0
3102506,2,0
4101002,6,1
2700201,175,1
2901205,8,1
4101051,9,0
1500701,260,9
2100709,151,6
3502002,3,0
1300086,279,0
1701002,31,0
1500800,4106,326
5201108,739,5
1500859,442,6
2100808,491,4
5000708,3,1
4200804,9,0
2901304,7,0
4101101,44,1
2901353,5,0
3102605,19,1
3502101,60,4
4300661,1,0
3102803,17,0
3502200,49,2
5000856,4,0
2601003,6,0
4200903,1,0
2901403,1,0
2200608,16,1
1701051,10,0
2400802,25,2
3300100,2108,79
2901502,27,0
4101150,1,0
5201207,1,0
3502309,2,0
3502408,4,0
5201306,61,0
2200707,18,0
4201000,4,0
4201109,1,0
1300102,566,10
4300703,9,0
2901601,4,0
4101200,16,0
2300804,11,0
2901700,9,0
4201208,41,4
3103009,29,0
2901809,7,0
2400901,3,0
4101309,6,0
4300802,11,0
3502507,17,0
3502606,5,0
5201405,2363,41
5201454,23,1
1701101,0,0
5001003,12,0
3300159,75,1
3200508,34,1
5100805,0,0
3502705,25,1
2100832,196,2
4201257,9,0
2401008,713,9
2901908,36,1
5201504,0,0
2901957,17,0
4101408,104,8
1300144,40,0
2300903,121,9
2800209,83,5
5001102,1,0
2301000,641,23
4201273,33,0
2500809,241,2
3103207,0,0
2800308,13615,256
3502754,62,2
2902054,5,0
2301109,732,34
2902005,15,0
3502804,643,16
2902104,177,1
2301208,412,8
2601052,58,8
3502903,85,3
3200607,656,29
5201603,3,0
3103405,7,0
5201702,38,1
5201801,17,0
1701309,37,0
1701903,1,0
1702000,41,1
5101001,5,0
1702109,3773,55
1702158,30,1
5202155,1,1
3103504,397,3
1702208,194,16
2100907,358,5
5001243,9,0
2902203,6,0
2100956,150,4
3503000,6,1
3503109,13,2
