code_muni,casos,mortes
5200050,84,0
3100104,5,0
5200100,66,4
3100203,21,0
1500107,2390,103
2300101,27,1
2900108,5,0
2900207,5,0
4100103,52,0
4200051,49,0
1500131,96,1
4200101,84,3
3100302,9,0
2600054,528,65
1700251,7,2
3100401,11,1
2100055,2611,61
2900306,40,2
1500206,591,13
2300150,757,13
2300200,1955,47
2400109,36,2
2200053,15,0
2300309,352,18
5100102,50,1
1200013,222,3
5200134,107,2
2400208,585,27
3100500,22,1
3500105,79,5
5200159,36,0
3500204,25,2
4100202,59,2
2900355,41,1
2600104,135,4
2400307,54,4
3200102,418,10
2100105,101,1
2600203,67,1
1500305,1014,8
2600302,251,18
2200103,11,0
4200200,26,2
4200309,19,2
1500347,201,0
5100201,133,3
2200202,338,16
5000203,7,0
3100708,2,0
4200408,22,0
2100154,446,5
3200169,76,3
2900405,35,1
5200175,5,0
2400406,3,0
2600401,766,32
4300059,35,0
3500303,88,4
3100807,7,0
2600500,447,17
3500402,2,1
4200507,26,0
3500501,56,4
3500550,7,0
3500600,11,0
3100906,48,2
4200556,3,0
5200258,960,37
4200606,27,0
3101003,25,0
4300109,2,0
3500709,154,3
4100301,39,0
3200136,113,2
2500205,19,0
1700301,203,4
3101102,113,0
2900603,34,1
2300408,9,1
3101201,0,0
4300208,4,0
2500304,547,10
2500403,204,6
2600609,78,1
2200251,26,0
2900702,812,15
3500758,22,0
3101409,2,0
2100204,34,5
2300507,321,3
2500536,22,0
5000252,2,1
2900801,131,1
2100303,117,0
4300307,2,0
3200201,161,10
4300406,106,6
2200277,8,0
4300455,7,0
3101508,210,10
1500404,691,18
2400505,19,2
5200308,96,3
3101607,83,0
3200300,198,3
3500808,6,1
3101631,8,1
4200705,13,0
2500577,4,0
2500601,397,13
2600708,271,20
1700350,11,0
2900900,52,1
1700400,9,1
1500503,150,17
3101706,258,1
2400604,15,0
4100400,343,5
5200506,1,0
3101805,91,0
4300505,15,0
3101904,10,3
5100250,210,6
1100015,152,0
3500907,4,1
1500602,2249,64
2100402,176,5
4100459,1,0
2300606,3,0
3102001,2,0
2600807,258,4
3501004,41,2
3501103,10,1
2100436,320,10
2100477,1186,3
1100379,57,1
5100300,65,3
4200754,6,0
5100359,38,2
3102050,7,0
2400703,206,9
4300570,8,0
5100409,92,0
5200555,28,0
3153509,24,1
2200301,48,1
5100508,36,0
1100403,93,4
5200605,51,0
4100608,19,0
2100501,79,1
4100707,22,1
3102100,57,1
3200359,55,5
2300705,133,4
5100607,10,1
4100509,17,0
2200400,565,8
3501152,57,4
1300029,1037,13
3102209,107,1
3501202,14,0
3501301,80,2
3501400,4,2
3501509,2,0
3102308,12,0
1700707,25,0
1100346,29,1
3102407,23,1
2200459,10,0
5200803,31,0
4100806,13,2
1400027,202,3
5000609,31,2
1600105,357,4
2100550,3,0
4100905,22,0
2600906,113,18
5200829,3,0
2200509,23,1
2100600,589,11
2901007,80,3
1300060,464,8
2901106,132,1
2901155,71,0
3501608,1031,42
5200852,56,1
3501707,165,2
3501806,50,0
4300646,18,0
2300754,693,15
5200902,2,0
3501905,212,8
2800100,22,0
3102506,3,0
4101002,8,1
2700201,286,2
2901205,28,1
4101051,16,0
1500701,393,11
2100709,255,6
3502002,11,0
1300086,352,0
1701002,53,1
1500800,4805,338
5201108,1376,22
1500859,541,7
2100808,661,6
5000708,7,1
5000807,1,0
4200804,9,0
2901304,6,0
4101101,57,1
2901353,21,1
3102605,30,1
3502101,69,5
4300661,1,0
3102803,17,0
3502200,96,2
5000856,12,0
2601003,24,1
4200903,19,0
2901403,1,0
2200608,37,2
1701051,10,0
2400802,81,2
3300100,2434,91
2901502,30,0
4101150,3,0
5201207,3,0
3502309,3,0
3502408,8,0
5201306,152,0
2200707,48,0
4201000,28,0
4201109,7,0
1300102,639,11
4300703,13,0
2901601,24,0
4101200,50,1
2300804,12,0
2200806,24,0
2901700,15,0
4201208,92,4
3103009,32,1
2901809,33,0
5000906,1,0
2400901,3,1
4101309,9,0
4300802,15,0
3502507,44,0
3502606,12,0
5201405,4159,78
5201454,26,1
1701101,4,0
5001003,46,1
3300159,98,3
3200508,55,2
5100805,4,1
3502705,48,2
2100832,197,3
4201257,17,0
2401008,894,14
2901908,43,2
5201504,0,0
2901957,89,0
4101408,200,11
1300144,69,0
