code_muni,casos,mortes
5200050,103,0
3100104,6,0
5200100,68,5
3100203,22,0
1500107,2497,109
2300101,33,1
2900108,5,0
2900207,9,0
4100103,54,0
4200051,50,0
1500131,107,1
4200101,87,3
3100302,12,0
2600054,561,70
1700251,7,2
3100401,12,1
2100055,2817,66
2900306,45,2
1500206,643,13
2300150,807,14
2300200,2072,49
2400109,41,3
2200053,16,0
4300034,0,0
2300309,380,20
5100102,60,1
1200013,237,3
5200134,117,3
2400208,688,36
3100500,30,1
3500105,94,5
5200159,38,0
3500204,29,2
4100202,80,2
2900355,55,1
2600104,155,4
2400307,57,5
3200102,464,11
2100105,128,1
2600203,69,1
1500305,1114,9
2600302,316,22
2200103,14,0
4200200,38,2
4200309,26,2
1500347,201,0
5100201,133,3
2200202,410,20
5000203,9,0
3100708,2,0
4200408,25,0
2100154,536,5
3200169,98,3
2900405,41,1
5200175,5,0
2400406,3,0
2600401,797,36
4300059,43,0
3500303,100,4
3100807,14,0
2600500,509,18
3500402,2,1
4200507,25,0
3500501,59,5
3500550,7,0
3500600,13,0
3100906,90,3
4200556,3,0
5200258,1060,53
4200606,29,0
3101003,25,0
4300109,3,0
3500709,180,3
4100301,46,0
3200136,141,2
2500205,20,0
1700301,231,5
3101102,131,0
2900603,52,1
2300408,12,1
3101201,1,0
4300208,3,0
2500304,633,12
2500403,220,6
2600609,94,2
2200251,29,0
2900702,990,21
3500758,33,0
3101409,2,0
2100204,37,5
2300507,340,3
2500536,26,0
5000252,4,2
2900801,162,2
2100303,233,0
4300307,2,0
3200201,200,11
4300406,124,7
2200277,8,0
4300455,11,0
3101508,225,10
1500404,747,27
2400505,26,3
5200308,117,6
3101607,112,4
3200300,213,4
3500808,7,1
3101631,11,1
4200705,22,0
2500577,4,0
2500601,468,13
2600708,285,23
1700350,14,0
2900900,70,1
1700400,12,2
1500503,178,17
3101706,340,3
2400604,17,0
4100400,483,5
5200506,3,0
3101805,91,0
4300505,17,0
3101904,13,3
5100250,227,6
1100015,183,1
3500907,6,1
1500602,2707,75
2100402,204,5
4100459,1,0
2300606,5,2
3102001,12,0
2600807,281,5
3501004,61,2
3501103,11,1
2100436,322,11
2100477,1186,3
1100379,63,1
5100300,66,3
4200754,6,0
5100359,38,2
3102050,7,0
2400703,227,9
4300570,9,0
5100409,95,0
5200555,32,0
3153509,29,1
2200301,52,2
5100508,36,0
1100403,112,4
5200605,61,0
4100608,20,0
2100501,94,1
4100707,29,1
3102100,57,1
3200359,95,5
2300705,147,4
5100607,12,1
4100509,26,0
2200400,671,8
3501152,76,4
1300029,1084,13
3102209,108,1
3501202,14,0
3501301,90,2
3501400,4,2
3501509,4,0
3102308,14,0
1700707,28,0
1100346,32,1
3102407,29,1
2200459,19,1
5200803,32,0
4100806,15,2
1400027,207,3
5000609,47,2
1600105,366,4
2100550,3,0
4100905,23,0
2600906,122,19
5200829,3,0
2200509,41,2
2100600,649,11
2901007,108,3
1300060,480,8
2901106,157,1
2901155,75,0
3501608,1293,47
5200852,62,1
3501707,177,2
3501806,69,0
4300646,24,0
2300754,711,16
5200902,6,0
3501905,251,11
2800100,27,0
3102506,3,0
4101002,11,1
2700201,307,4
2901205,43,1
4101051,20,0
1500701,446,11
2100709,271,6
3502002,15,0
1300086,389,0
1701002,71,2
1500800,5194,341
5201108,1574,39
1500859,566,9
2100808,659,6
5000708,17,3
5000807,9,0
4200804,12,0
2901304,9,0
4101101,64,1
2901353,25,1
3102605,46,1
3502101,88,5
4300661,5,0
3102803,17,0
3502200,109,2
5000856,17,0
2601003,28,1
4200903,30,0
2901403,5,0
2200608,43,2
1701051,10,0
2400802,83,3
3300100,2522,95
2901502,36,0
4101150,7,0
5201207,4,1
3502309,3,0
3502408,10,0
5201306,187,0
2200707,73,0
4201000,48,0
4201109,10,0
1300102,709,11
4300703,13,0
2901601,34,0
4101200,74,1
2300804,12,0
2200806,51,0
2901700,22,0
4201208,111,5
3103009,37,1
2901809,45,0
5000906,12,0
2400901,3,1
4101309,9,0
4300802,17,0
3502507,54,0
3502606,12,0
5201405,4509,111
5201454,26,2
1701101,6,0
5001003,65,2
3300159,103,3
3200508,76,2
5100805,4,1
3502705,55,3
2100832,197,3
4201257,19,0
2401008,1008,17
2901908,47,2
5201504,0,0
2901957,122,0
4101408,258,11
1300144,98,0
2300903,158,10
2800209,279,7
5001102,21,2
2301000,786,25
4201273,45,0
2500809,396,2
3103207,1,0
2800308,22715,449
3502754,119,3
2902054,16,0
2301109,936,41
2902005,20,0
3502804,1981,52
2902104,495,4
2301208,561,11
2601052,71,11
3502903,154,5
3200607,1756,43
5201603,9,0
3103405,15,0
5201702,123,2
5201801,44,1
1701309,51,2
1701903,2,0
1702000,145,2
5101001,11,0
1702109,5640,76
5101209,1,0
1702158,41,2
5202155,7,1
3103504,1105,21
1702208,281,18
2100907,484,8
5001243,25,0
2902203,33,0
4300851,2,1
2100956,190,4
3503000,18,1
3503109,14,2
3103603,4,1
3503158,1,1
2700300,4240,72
1702307,25,2
4101507,515,17
3103751,76,2
4101606,113,1
3103801,17,0
4101655,19,1
5101258,53,2
4201307,266,2
2500908,140,3
4201406,220,4
3503208,1365,15
3503307,831,26
2301257,34,2
2101004,185,6
4300877,21,2
2301307,117,2
2601102,359,8
3300209,427,39
4101705,60,3
2902252,16,0
4300901,12,0
2301406,134,1
2902302,8,1
2800407,149,5
4101804,1069,18
3103900,12,0
3104007,359,6
3104106,15,0
3104205,89,1
2601201,450,25
3300225,107,2
3503406,12,0
2501104,219,2
2800506,406,11
2501153,7,0
2501203,37,2
3503505,4,0
3503604,25,3
5101308,70,1
5202353,1,0
2401206,167,2
3104403,2,1
3104452,1,0
3104502,38,0
5101407,89,2
1100023,1817,32
3503703,63,1
3300233,189,8
4201505,62,0
2301505,37,2
2200905,19,1
2501302,142,0
2200954,7,0
3300258,89,5
1702406,11,0
4301008,178,0
4301057,19,2
4301206,3,0
4301107,35,3
4301305,7,0
4201604,32,0
3503802,157,2
5202502,15,0
3503901,770,50
4201653,27,1
4301404,14,1
4201703,31,1
3503950,21,0
4101903,39,7
2301604,147,3
3504008,388,17
1200054,233,5
4102000,180,3
2501351,31,0
2201051,80,1
3104601,41,2
4102109,90,2
4102208,10,0
1300201,645,4
4201802,10,0
3104700,49,2
3504107,424,16
3200706,157,2
1702554,340,5
1500909,925,20
3104809,16,0
4301552,2,0
2902401,208,1
3504206,99,5
5202601,15,0
4201901,25,0
1500958,424,7
1702703,14,0
1300300,1123,32
3504305,24,0
3504404,17,1
3504503,171,10
1501006,241,4
2201101,8,1
5202809,22,0
2101103,95,2
1702901,111,3
1703008,38,0
2101202,2761,34
2101251,130,1
2101301,376,2
2101350,21,0
3504602,204,9
3104908,11,0
4301602,189,1
1501105,223,8
2501401,357,4
2401404,67,2
2902500,4,0
1501204,248,13
2902609,3,0
2201150,188,3
2301802,20,0
3200805,321,9
3504701,3,0
3105004,8,0
5203104,1,0
4201950,79,2
4202057,87,0
4202008,3138,30
4202073,21,3
4212809,189,1
4301636,18,0
4220000,41,2
4102307,125,2
3504800,67,2
2101400,1772,11
3105103,16,0
2301851,324,2
3504909,27,0
2501500,108,1
3105202,198,1
3105301,1,0
4202081,1,0
4102406,125,4
1703057,16,0
1501253,67,3
2902658,34,0
4301651,12,1
3505005,10,0
3105400,188,0
4301701,64,3
2101509,13,1
5101605,50,1
3105509,15,0
4301750,11,0
2401453,264,10
3105608,453,7
2301901,691,27
3505104,15,0
4102505,40,2
1501303,2574,103
2401503,24,0
1300409,1952,24
3505203,145,4
2902708,42,0
3505302,219,5
2201176,2,0
2902807,4,0
2601300,125,8
2501609,32,1
2501575,72,2
2700508,102,7
3200904,270,9
2501708,23,1
5101704,86,3
3505351,18,0
2902906,203,2
2101608,2192,18
5101803,385,33
4301859,10,0
4102703,1,0
2903003,4,0
1703073,11,3
3300308,513,27
4301909,39,3
4301925,2,0
2903102,15,0
3505401,25,1
