code_muni;POP_ESTIM
1706506.0;6097
1707009.0;22139
1707108.0;6900
1707207.0;7198
1707306.0;4686
1707405.0;10996
1707553.0;3835
1707652.0;5263
1707702.0;8856
1708205.0;18440
1708254.0;2589
1708304.0;5123
1709005.0;13019
1709302.0;25923
1709500.0;86647
1709807.0;2015
1710508.0;7433
1710706.0;5864
1710904.0;3777
1711100.0;2427
1711506.0;3849
1711803.0;2193
1711902.0;13357
1711951.0;4316
1712009.0;3134
1712157.0;1923
1712405.0;3740
1712454.0;3108
1712504.0;5175
1712702.0;2684
1712801.0;3426
1713205.0;18248
1713304.0;13434
1713601.0;7947
1713700.0;2279
1713809.0;6658
1713957.0;3551
1714203.0;9244
1714302.0;3898
1714880.0;11819
1715002.0;4260
1715101.0;4342
1715150.0;2332
1715259.0;2722
1715507.0;1112
1715705.0;6026
1715754.0;7659
1716109.0;51252
1716208.0;10449
1716307.0;4849
1716505.0;13578
1716604.0;11749
1716653.0;5477
1716703.0;8205
1717008.0;4447
1717206.0;3028
1717503.0;7654
1717800.0;4596
1717909.0;8039
1718006.0;3139
1718204.0;53010
1718303.0;8432
1718402.0;3684
1718451.0;2688
1718501.0;4293
1718550.0;4645
1718659.0;2130
1718709.0;2834
1718758.0;6478
1718808.0;4711
1718840.0;3375
1718865.0;7512
1718881.0;3434
1718899.0;2365
1718907.0;4829
1719004.0;2866
1720002.0;2529
1720101.0;5324
1720150.0;1585
1720200.0;12139
1720259.0;3082
1720309.0;4805
1720499.0;3960
1720655.0;5403
1720804.0;9029
1720853.0;1966
1720903.0;16683
1720937.0;2148
1720978.0;2793
1721000.0;299127
1721109.0;7545
1721208.0;22870
1721257.0;1891
1721307.0;2671
1722081.0;11683
1722107.0;11540
2100055.0;112445
2100105.0;6524
2100154.0;12571
2100204.0;22097
2100303.0;26532
2100402.0;8128
2100436.0;27053
2100477.0;31919
2100501.0;11190
2100550.0;6962
2100600.0;41435
2100709.0;26803
2100808.0;15732
2100832.0;17239
2100873.0;15426
2100907.0;46440
2100956.0;32701
2101004.0;29848
2101103.0;12130
2101202.0;104949
2101251.0;17055
2101301.0;18582
2101350.0;5644
2101400.0;94887
2101509.0;18820
2101608.0;88212
2101707.0;62528
2101731.0;7469
2101772.0;11209
2101806.0;5632
2101905.0;21280
2101939.0;6043
2101970.0;9287
2102002.0;41630
2102036.0;34028
2102077.0;16294
2102101.0;36397
2102150.0;9188
2102200.0;28678
2102309.0;23884
2102325.0;72358
2102358.0;15430
2102374.0;9431
2102408.0;11177
2102507.0;19379
2102556.0;14374
2102606.0;20178
2102705.0;21995
2102754.0;10934
2102804.0;24322
2102903.0;23807
2103000.0;164880
2103109.0;10675
2103125.0;8673
2103158.0;13458
2103174.0;21622
2103208.0;79675
2103257.0;14697
2103307.0;122859
2103406.0;49435
2103505.0;41178
2103554.0;16237
2103604.0;65296
2103703.0;32695
2103752.0;12908
2103802.0;23350
2103901.0;11349
2104008.0;17241
2104057.0;41946
